Dato           , 501, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511, 512, 513, 514, 515
søndag 2.maj   , x  ,    ,    ,   x,    ,    ,    ,    ,    ,    ,    ,    ,   x,    ,
mandag 3.maj   ,    ,   x,    ,   x,    ,    ,   x,    ,    ,    ,    ,    ,   x,    ,x
tirsdag 4.maj  ,x   ,    ,    ,    ,    ,    ,   x,    ,    ,    ,    ,    ,    ,   x,x
onsdag 5.maj   ,    ,    ,    ,    ,    ,    ,   x,    ,    ,    ,   x,    ,    ,   x,
torsdag 6.maj  ,    ,    ,    ,    ,    ,    ,   x,    ,    ,    ,    ,    ,   x,    ,
søndag 9.maj   ,   x,    ,    ,    ,    ,    ,   x,    ,    ,    ,    ,    ,    ,    ,x
mandag 10.maj  ,    ,   x,    ,    ,   X,    ,   x,    ,    ,    ,    ,    ,   x,   x,x
tirsdag 11.maj ,   x,    ,    ,    ,    ,    ,   x,    ,    ,    ,   x,    ,    ,   x,x
onsdag 12.maj  ,    ,    ,    ,    ,    ,    ,   x,    ,    ,    ,   x,    ,    ,    ,
torsdag 13.maj ,    ,   x,    ,    ,    ,    ,   x,    ,    ,    ,    ,    ,    ,    ,
søndag 16.maj  ,   x,   x,    ,    ,   X,    ,   x,   x,    ,    ,    ,    ,    ,    ,x
mandag 17.maj  ,    ,   x,    ,    ,   X,    ,    ,    ,    ,   x,    ,    ,    ,   x,x
tirsdag 18.maj ,   x,    ,    ,    ,   X,    ,    ,    ,    ,   x,    ,    ,   x,    ,x
onsdag 19.maj  ,    ,    ,    ,    ,   X,    ,    ,    ,    ,   x,   x,    ,    ,   x,
torsdag 20.maj ,    ,   x,    ,    ,   X,    ,    ,   x,    ,    ,    ,    ,    ,    ,
søndag 23.maj  ,   x,    ,   x,    ,    ,    ,    ,   x,   x,    ,    ,    ,    ,    ,x
mandag 24.maj  ,    ,    ,    ,    ,    ,    ,   x,    ,    ,    ,    ,    ,    ,    ,x
tirsdag 25.maj ,   x,    ,    ,    ,    ,    ,   x,    ,    ,   x,   x,    ,    ,    ,x
onsdag 26.maj  ,    ,    ,    ,    ,    ,    ,   x,   x,    ,   x,    ,    ,    ,    ,
torsdag 27.maj ,    ,    ,   x,    ,    ,    ,    ,   x,   x,    ,   x,    ,    ,    ,
søndag 30.maj  ,   x,   x,    ,    ,    ,    ,   x,    ,    ,   x,    ,    ,   x,    ,x
mandag 31.maj  ,    ,   x,    ,    ,    ,    ,   x,    ,    ,   x,    ,    ,    ,    ,x
