Dato,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515
torsdag 1.april,,,,,,,,,,,,,,,x
mandag 5.april,,,,,,,,,,,,X,,,
tirsdag 6.april,,,,,,,,,,,,X,,,x
onsdag 7.april,,,,,,,,,,x,,,,,
torsdag 8.april,,,,,,,,,,x,,,,,x
søndag 11.april,,,,,,,,,,x,,X,,,x
mandag 12.april,,,,,,,,,,,,,,,
tirsdag 13.april,,,,,,,,,,x,,,,,
onsdag 14.april,,,,,,,,,,x,,,,,
torsdag 15.april,,,,,,,,,,x,,,,,
søndag 18.april,,,,,,,,,,,,X,,,x
mandag 19.april,,,,,,,,,,,,X,,,
tirsdag 20.april,,,,,,,,,,,,X,,,x
onsdag 21.april,,,,,,,,,,,,,,,
torsdag 22.april,,,,,,,,,,x,,,,,x
søndag 25.april,,,,,,,,,,,,X,,,x
mandag 26.april,,,,,,,,,,,,X,,,
tirsdag 27.april,,,,,,,,,,x,,X,,,x
onsdag 28.april,,,,,,,,,,x,,,,,
torsdag 29.april,,,,,,,,,,x,,,,,x
